;departamento;anopubli;quantidade_prod
0;Departamento de Ciências do Solo e Engenharia Agrícola;1991.0;1
1;Departamento de Ciências do Solo e Engenharia Agrícola;1996.0;2
2;Departamento de Ciências do Solo e Engenharia Agrícola;1997.0;2
3;Departamento de Ciências do Solo e Engenharia Agrícola;1999.0;1
4;Departamento de Ciências do Solo e Engenharia Agrícola;2000.0;2
5;Departamento de Ciências do Solo e Engenharia Agrícola;2001.0;5
6;Departamento de Ciências do Solo e Engenharia Agrícola;2002.0;6
7;Departamento de Ciências do Solo e Engenharia Agrícola;2003.0;3
8;Departamento de Ciências do Solo e Engenharia Agrícola;2004.0;6
9;Departamento de Ciências do Solo e Engenharia Agrícola;2005.0;8
10;Departamento de Ciências do Solo e Engenharia Agrícola;2006.0;11
11;Departamento de Ciências do Solo e Engenharia Agrícola;2007.0;26
12;Departamento de Ciências do Solo e Engenharia Agrícola;2008.0;19
13;Departamento de Ciências do Solo e Engenharia Agrícola;2009.0;19
14;Departamento de Ciências do Solo e Engenharia Agrícola;2010.0;13
15;Departamento de Ciências do Solo e Engenharia Agrícola;2011.0;10
16;Departamento de Ciências do Solo e Engenharia Agrícola;2012.0;22
17;Departamento de Ciências do Solo e Engenharia Agrícola;2013.0;14
18;Departamento de Ciências do Solo e Engenharia Agrícola;2014.0;9
19;Departamento de Ciências do Solo e Engenharia Agrícola;2015.0;8
20;Departamento de Ciências do Solo e Engenharia Agrícola;2016.0;10
21;Departamento de Ciências do Solo e Engenharia Agrícola;2017.0;16
22;Departamento de Ciências do Solo e Engenharia Agrícola;2018.0;13
23;Departamento de Ciências do Solo e Engenharia Agrícola;2019.0;7
24;Departamento de Ciências do Solo e Engenharia Agrícola;2020.0;8
25;Departamento de Ciências do Solo e Engenharia Agrícola;2021.0;6
26;Departamento de Ciências do Solo e Engenharia Agrícola;2022.0;7
27;Departamento de Ciências do Solo e Engenharia Agrícola;2023.0;2
28;Departamento de Engenharia Civil;1997.0;1
29;Departamento de Engenharia Civil;1998.0;2
30;Departamento de Engenharia Civil;1999.0;2
31;Departamento de Engenharia Civil;2000.0;1
32;Departamento de Engenharia Civil;2003.0;1
33;Departamento de Engenharia Civil;2004.0;3
34;Departamento de Engenharia Civil;2005.0;3
35;Departamento de Engenharia Civil;2006.0;6
36;Departamento de Engenharia Civil;2007.0;7
37;Departamento de Engenharia Civil;2008.0;9
38;Departamento de Engenharia Civil;2009.0;8
39;Departamento de Engenharia Civil;2010.0;11
40;Departamento de Engenharia Civil;2011.0;5
41;Departamento de Engenharia Civil;2012.0;12
42;Departamento de Engenharia Civil;2013.0;17
43;Departamento de Engenharia Civil;2014.0;9
44;Departamento de Engenharia Civil;2015.0;12
45;Departamento de Engenharia Civil;2016.0;14
46;Departamento de Engenharia Civil;2017.0;13
47;Departamento de Engenharia Civil;2018.0;11
48;Departamento de Engenharia Civil;2019.0;5
49;Departamento de Engenharia Civil;2020.0;4
50;Departamento de Engenharia Civil;2021.0;13
51;Departamento de Engenharia Civil;2022.0;20
52;Departamento de Engenharia Civil;2023.0;9
53;Departamento de Engenharia Civil;2024.0;5
54;Departamento de Engenharia de Alimentos;1989.0;1
55;Departamento de Engenharia de Alimentos;1990.0;2
56;Departamento de Engenharia de Alimentos;1994.0;1
57;Departamento de Engenharia de Alimentos;1995.0;3
58;Departamento de Engenharia de Alimentos;1996.0;1
59;Departamento de Engenharia de Alimentos;1997.0;1
60;Departamento de Engenharia de Alimentos;1998.0;1
61;Departamento de Engenharia de Alimentos;1999.0;1
62;Departamento de Engenharia de Alimentos;2000.0;3
63;Departamento de Engenharia de Alimentos;2001.0;4
64;Departamento de Engenharia de Alimentos;2002.0;6
65;Departamento de Engenharia de Alimentos;2003.0;10
66;Departamento de Engenharia de Alimentos;2004.0;9
67;Departamento de Engenharia de Alimentos;2005.0;10
68;Departamento de Engenharia de Alimentos;2006.0;13
69;Departamento de Engenharia de Alimentos;2007.0;25
70;Departamento de Engenharia de Alimentos;2008.0;33
71;Departamento de Engenharia de Alimentos;2009.0;30
72;Departamento de Engenharia de Alimentos;2010.0;40
73;Departamento de Engenharia de Alimentos;2011.0;30
74;Departamento de Engenharia de Alimentos;2012.0;22
75;Departamento de Engenharia de Alimentos;2013.0;25
76;Departamento de Engenharia de Alimentos;2014.0;16
77;Departamento de Engenharia de Alimentos;2015.0;16
78;Departamento de Engenharia de Alimentos;2016.0;22
79;Departamento de Engenharia de Alimentos;2017.0;18
80;Departamento de Engenharia de Alimentos;2018.0;18
81;Departamento de Engenharia de Alimentos;2019.0;14
82;Departamento de Engenharia de Alimentos;2020.0;16
83;Departamento de Engenharia de Alimentos;2021.0;9
84;Departamento de Engenharia de Alimentos;2022.0;21
85;Departamento de Engenharia de Alimentos;2023.0;11
86;Departamento de Engenharia de Alimentos;2024.0;4
87;Departamento de Engenharia de Materiais;1985.0;1
88;Departamento de Engenharia de Materiais;1989.0;1
89;Departamento de Engenharia de Materiais;1990.0;1
90;Departamento de Engenharia de Materiais;1994.0;1
91;Departamento de Engenharia de Materiais;1995.0;1
92;Departamento de Engenharia de Materiais;1996.0;3
93;Departamento de Engenharia de Materiais;1998.0;2
94;Departamento de Engenharia de Materiais;1999.0;1
95;Departamento de Engenharia de Materiais;2000.0;1
96;Departamento de Engenharia de Materiais;2001.0;2
97;Departamento de Engenharia de Materiais;2002.0;2
98;Departamento de Engenharia de Materiais;2003.0;6
99;Departamento de Engenharia de Materiais;2004.0;5
100;Departamento de Engenharia de Materiais;2005.0;4
101;Departamento de Engenharia de Materiais;2006.0;10
102;Departamento de Engenharia de Materiais;2007.0;7
103;Departamento de Engenharia de Materiais;2008.0;9
104;Departamento de Engenharia de Materiais;2009.0;8
105;Departamento de Engenharia de Materiais;2010.0;13
106;Departamento de Engenharia de Materiais;2011.0;11
107;Departamento de Engenharia de Materiais;2012.0;12
108;Departamento de Engenharia de Materiais;2013.0;13
109;Departamento de Engenharia de Materiais;2014.0;16
110;Departamento de Engenharia de Materiais;2015.0;5
111;Departamento de Engenharia de Materiais;2016.0;6
112;Departamento de Engenharia de Materiais;2017.0;8
113;Departamento de Engenharia de Materiais;2018.0;10
114;Departamento de Engenharia de Materiais;2019.0;6
115;Departamento de Engenharia de Materiais;2020.0;9
116;Departamento de Engenharia de Materiais;2021.0;10
117;Departamento de Engenharia de Materiais;2022.0;12
118;Departamento de Engenharia de Materiais;2023.0;13
119;Departamento de Engenharia de Materiais;2024.0;1
120;Departamento de Fitotecnia e Fitossanidade/DEFITO;1991.0;1
121;Departamento de Fitotecnia e Fitossanidade/DEFITO;1992.0;1
122;Departamento de Fitotecnia e Fitossanidade/DEFITO;1996.0;1
123;Departamento de Fitotecnia e Fitossanidade/DEFITO;1997.0;5
124;Departamento de Fitotecnia e Fitossanidade/DEFITO;1998.0;8
125;Departamento de Fitotecnia e Fitossanidade/DEFITO;1999.0;5
126;Departamento de Fitotecnia e Fitossanidade/DEFITO;2000.0;5
127;Departamento de Fitotecnia e Fitossanidade/DEFITO;2001.0;4
128;Departamento de Fitotecnia e Fitossanidade/DEFITO;2002.0;10
129;Departamento de Fitotecnia e Fitossanidade/DEFITO;2003.0;8
130;Departamento de Fitotecnia e Fitossanidade/DEFITO;2004.0;11
131;Departamento de Fitotecnia e Fitossanidade/DEFITO;2005.0;5
132;Departamento de Fitotecnia e Fitossanidade/DEFITO;2006.0;6
133;Departamento de Fitotecnia e Fitossanidade/DEFITO;2007.0;13
134;Departamento de Fitotecnia e Fitossanidade/DEFITO;2008.0;14
135;Departamento de Fitotecnia e Fitossanidade/DEFITO;2009.0;10
136;Departamento de Fitotecnia e Fitossanidade/DEFITO;2010.0;22
137;Departamento de Fitotecnia e Fitossanidade/DEFITO;2011.0;24
138;Departamento de Fitotecnia e Fitossanidade/DEFITO;2012.0;17
139;Departamento de Fitotecnia e Fitossanidade/DEFITO;2013.0;18
140;Departamento de Fitotecnia e Fitossanidade/DEFITO;2014.0;15
141;Departamento de Fitotecnia e Fitossanidade/DEFITO;2015.0;18
142;Departamento de Fitotecnia e Fitossanidade/DEFITO;2016.0;11
143;Departamento de Fitotecnia e Fitossanidade/DEFITO;2017.0;21
144;Departamento de Fitotecnia e Fitossanidade/DEFITO;2018.0;17
145;Departamento de Fitotecnia e Fitossanidade/DEFITO;2019.0;11
146;Departamento de Fitotecnia e Fitossanidade/DEFITO;2020.0;18
147;Departamento de Fitotecnia e Fitossanidade/DEFITO;2021.0;7
148;Departamento de Fitotecnia e Fitossanidade/DEFITO;2022.0;14
149;Departamento de Fitotecnia e Fitossanidade/DEFITO;2023.0;10
150;Departamento de Fitotecnia e Fitossanidade/DEFITO;2024.0;1
151;Departamento de Física;1994.0;1
152;Departamento de Física;1995.0;2
153;Departamento de Física;1996.0;2
154;Departamento de Física;1997.0;1
155;Departamento de Física;1998.0;4
156;Departamento de Física;1999.0;3
157;Departamento de Física;2000.0;10
158;Departamento de Física;2001.0;2
159;Departamento de Física;2002.0;11
160;Departamento de Física;2003.0;9
161;Departamento de Física;2004.0;14
162;Departamento de Física;2005.0;12
163;Departamento de Física;2006.0;9
164;Departamento de Física;2007.0;10
165;Departamento de Física;2008.0;17
166;Departamento de Física;2009.0;26
167;Departamento de Física;2010.0;20
168;Departamento de Física;2011.0;25
169;Departamento de Física;2012.0;24
170;Departamento de Física;2013.0;16
171;Departamento de Física;2014.0;18
172;Departamento de Física;2015.0;18
173;Departamento de Física;2016.0;11
174;Departamento de Física;2017.0;14
175;Departamento de Física;2018.0;22
176;Departamento de Física;2019.0;12
177;Departamento de Física;2020.0;8
178;Departamento de Física;2021.0;9
179;Departamento de Física;2022.0;13
180;Departamento de Física;2023.0;5
181;Departamento de Física;2024.0;5
182;Departamento de Geociências;1976.0;3
183;Departamento de Geociências;1977.0;2
184;Departamento de Geociências;1978.0;3
185;Departamento de Geociências;1979.0;1
186;Departamento de Geociências;1980.0;2
187;Departamento de Geociências;1981.0;3
188;Departamento de Geociências;1982.0;2
189;Departamento de Geociências;1986.0;1
190;Departamento de Geociências;1987.0;1
191;Departamento de Geociências;1989.0;1
192;Departamento de Geociências;1992.0;2
193;Departamento de Geociências;1993.0;3
194;Departamento de Geociências;1994.0;1
195;Departamento de Geociências;1995.0;1
196;Departamento de Geociências;1996.0;3
197;Departamento de Geociências;1997.0;3
198;Departamento de Geociências;1998.0;3
199;Departamento de Geociências;1999.0;1
200;Departamento de Geociências;2000.0;3
201;Departamento de Geociências;2001.0;7
202;Departamento de Geociências;2002.0;8
203;Departamento de Geociências;2003.0;7
204;Departamento de Geociências;2004.0;11
205;Departamento de Geociências;2005.0;14
206;Departamento de Geociências;2006.0;11
207;Departamento de Geociências;2007.0;21
208;Departamento de Geociências;2008.0;26
209;Departamento de Geociências;2009.0;20
210;Departamento de Geociências;2010.0;30
211;Departamento de Geociências;2011.0;27
212;Departamento de Geociências;2012.0;37
213;Departamento de Geociências;2013.0;44
214;Departamento de Geociências;2014.0;33
215;Departamento de Geociências;2015.0;29
216;Departamento de Geociências;2016.0;19
217;Departamento de Geociências;2017.0;27
218;Departamento de Geociências;2018.0;24
219;Departamento de Geociências;2019.0;21
220;Departamento de Geociências;2020.0;21
221;Departamento de Geociências;2021.0;24
222;Departamento de Geociências;2022.0;24
223;Departamento de Geociências;2023.0;9
224;Departamento de Geociências;2024.0;9
225;Departamento de Informática;1998.0;2
226;Departamento de Informática;1999.0;7
227;Departamento de Informática;2000.0;1
228;Departamento de Informática;2001.0;8
229;Departamento de Informática;2002.0;5
230;Departamento de Informática;2003.0;5
231;Departamento de Informática;2004.0;2
232;Departamento de Informática;2005.0;4
233;Departamento de Informática;2006.0;6
234;Departamento de Informática;2007.0;8
235;Departamento de Informática;2008.0;6
236;Departamento de Informática;2009.0;14
237;Departamento de Informática;2010.0;16
238;Departamento de Informática;2011.0;14
239;Departamento de Informática;2012.0;13
240;Departamento de Informática;2013.0;23
241;Departamento de Informática;2014.0;10
242;Departamento de Informática;2015.0;15
243;Departamento de Informática;2016.0;13
244;Departamento de Informática;2017.0;11
245;Departamento de Informática;2018.0;13
246;Departamento de Informática;2019.0;5
247;Departamento de Informática;2020.0;7
248;Departamento de Informática;2021.0;10
249;Departamento de Informática;2022.0;8
250;Departamento de Informática;2023.0;4
251;Departamento de Matemática e Estatística;1993.0;1
252;Departamento de Matemática e Estatística;1994.0;2
253;Departamento de Matemática e Estatística;1996.0;1
254;Departamento de Matemática e Estatística;1997.0;1
255;Departamento de Matemática e Estatística;1998.0;2
256;Departamento de Matemática e Estatística;1999.0;4
257;Departamento de Matemática e Estatística;2001.0;3
258;Departamento de Matemática e Estatística;2002.0;6
259;Departamento de Matemática e Estatística;2003.0;8
260;Departamento de Matemática e Estatística;2004.0;9
261;Departamento de Matemática e Estatística;2005.0;5
262;Departamento de Matemática e Estatística;2006.0;11
263;Departamento de Matemática e Estatística;2007.0;13
264;Departamento de Matemática e Estatística;2008.0;7
265;Departamento de Matemática e Estatística;2009.0;14
266;Departamento de Matemática e Estatística;2010.0;23
267;Departamento de Matemática e Estatística;2011.0;11
268;Departamento de Matemática e Estatística;2012.0;20
269;Departamento de Matemática e Estatística;2013.0;19
270;Departamento de Matemática e Estatística;2014.0;17
271;Departamento de Matemática e Estatística;2015.0;22
272;Departamento de Matemática e Estatística;2016.0;15
273;Departamento de Matemática e Estatística;2017.0;15
274;Departamento de Matemática e Estatística;2018.0;26
275;Departamento de Matemática e Estatística;2019.0;20
276;Departamento de Matemática e Estatística;2020.0;14
277;Departamento de Matemática e Estatística;2021.0;7
278;Departamento de Matemática e Estatística;2022.0;26
279;Departamento de Matemática e Estatística;2023.0;11
280;Departamento de Matemática e Estatística;2024.0;2
281;Departamento de Química;1992.0;1
282;Departamento de Química;1996.0;3
283;Departamento de Química;1998.0;10
284;Departamento de Química;1999.0;2
285;Departamento de Química;2000.0;4
286;Departamento de Química;2001.0;12
287;Departamento de Química;2002.0;11
288;Departamento de Química;2003.0;10
289;Departamento de Química;2004.0;16
290;Departamento de Química;2005.0;16
291;Departamento de Química;2006.0;14
292;Departamento de Química;2007.0;31
293;Departamento de Química;2008.0;32
294;Departamento de Química;2009.0;41
295;Departamento de Química;2010.0;52
296;Departamento de Química;2011.0;36
297;Departamento de Química;2012.0;30
298;Departamento de Química;2013.0;34
299;Departamento de Química;2014.0;38
300;Departamento de Química;2015.0;27
301;Departamento de Química;2016.0;13
302;Departamento de Química;2017.0;37
303;Departamento de Química;2018.0;38
304;Departamento de Química;2019.0;31
305;Departamento de Química;2020.0;23
306;Departamento de Química;2021.0;18
307;Departamento de Química;2022.0;32
308;Departamento de Química;2023.0;21
309;Departamento de Química;2024.0;4
310;Departamento de Zootecnia;1995.0;1
311;Departamento de Zootecnia;1997.0;2
312;Departamento de Zootecnia;1999.0;2
313;Departamento de Zootecnia;2001.0;14
314;Departamento de Zootecnia;2002.0;9
315;Departamento de Zootecnia;2003.0;13
316;Departamento de Zootecnia;2004.0;12
317;Departamento de Zootecnia;2005.0;13
318;Departamento de Zootecnia;2006.0;13
319;Departamento de Zootecnia;2007.0;26
320;Departamento de Zootecnia;2008.0;15
321;Departamento de Zootecnia;2009.0;15
322;Departamento de Zootecnia;2010.0;10
323;Departamento de Zootecnia;2011.0;25
324;Departamento de Zootecnia;2012.0;17
325;Departamento de Zootecnia;2013.0;13
326;Departamento de Zootecnia;2014.0;20
327;Departamento de Zootecnia;2015.0;18
328;Departamento de Zootecnia;2016.0;14
329;Departamento de Zootecnia;2017.0;23
330;Departamento de Zootecnia;2018.0;14
331;Departamento de Zootecnia;2019.0;27
332;Departamento de Zootecnia;2020.0;25
333;Departamento de Zootecnia;2021.0;15
334;Departamento de Zootecnia;2022.0;21
335;Departamento de Zootecnia;2023.0;12
336;Departamento de Zootecnia;2024.0;1
