;id_professor;nome;anopubli;tipo;departamento
0;6b6fed82-9885-4a57-aa34-afdfc6223a5a;EQUILIBRIUM AND STABILITY OF ELLIPSOIDAL LIQUIS METAL DROPS IN TEMPUS LIKE EXPERIMENTS. JOURNAL OF THE PHYSICAL;2001;INTERNACIONAL;Departamento de Matemática e Estatística
1;6b6fed82-9885-4a57-aa34-afdfc6223a5a;CRYSTALLIZATION KINETICS: A SOLUTION FOR GEOMETRICAL IMPINGEMENT;2002;INTERNACIONAL;Departamento de Matemática e Estatística
2;6b6fed82-9885-4a57-aa34-afdfc6223a5a;STABILITY OF ELLIPSOIDAL CONDUCTORS IN MICROGRAVITY ELECTROMAGNETIC CONTAINERLESS PROCESSING FACILITIES;2002;INTERNACIONAL;Departamento de Matemática e Estatística
3;6b6fed82-9885-4a57-aa34-afdfc6223a5a;A KINETIC MODEL FOR TWO STEP CRYSTALLIZATION;2005;INTERNACIONAL;Departamento de Matemática e Estatística
4;8e577d02-cafd-44b8-93ad-3e0e8ed8ee8c;DEGRADACAO ENZIMATICA DE CORANTES TEXTEIS;2002;NACIONAL;Departamento de Química
5;6b6fed82-9885-4a57-aa34-afdfc6223a5a;DESCRICAO DE UMA EXPERIENCIA EM ECONOMIA FAMILIAR;2005;NACIONAL;Departamento de Matemática e Estatística
6;6b6fed82-9885-4a57-aa34-afdfc6223a5a;A EDUCACAO PARA O CONSUMO RESPONSAVEL E A SUSTENTABILIDADE: UM CASO-EXEMPLO;2010;NACIONAL;Departamento de Matemática e Estatística
7;6b6fed82-9885-4a57-aa34-afdfc6223a5a;"APRESENTACAO DIDATICA DO PROJETO ""EDUCACAO PARA O CONSUMO RESPONSAVEL""";2010;NACIONAL;Departamento de Matemática e Estatística
8;6b6fed82-9885-4a57-aa34-afdfc6223a5a;CONSUMO RESPONSAVEL: UM PASSO ALEM DO ASPECTO AMBIENTAL;2012;NACIONAL;Departamento de Matemática e Estatística
9;6b6fed82-9885-4a57-aa34-afdfc6223a5a;A REVOLUCAO DE UMA COMPANHIA AEREA E O FUNCIONAMENTO DO ANUNCIO PUBLICITARIO;2012;NACIONAL;Departamento de Matemática e Estatística
10;6b6fed82-9885-4a57-aa34-afdfc6223a5a;EDUCACAO PARA O CONSUMO E PARA A DIVERSIDADE: REPRESENTACOES DE GENERO EM ANUNCIOS PUBLICITARIOS;2012;NACIONAL;Departamento de Matemática e Estatística
11;6b6fed82-9885-4a57-aa34-afdfc6223a5a;O ELEMENTO FINANCEIRO E A EDUCACAO PARA O CONSUMO RESPONSAVEL;2013;INTERNACIONAL;Departamento de Matemática e Estatística
12;6b6fed82-9885-4a57-aa34-afdfc6223a5a;A ESCASSEZ DE AGUA NO CONTEXTO DA EDUCACAO PARA O CONSUMO RESPONSAVEL;2015;NACIONAL;Departamento de Matemática e Estatística
13;6b6fed82-9885-4a57-aa34-afdfc6223a5a;A SIMPLE MODEL FOR SOLIDIFICATION ODF UNDERCOOLED METALLIC SAMPLES;2004;INTERNACIONAL;Departamento de Matemática e Estatística
14;98bfd074-de25-4823-a299-5c173a56fb76;EFEITO DE EXTRATOS AQUOSOS DE PLANTAS NO DESENVOLVIMENTO DE PLUTELLA XYLOSTELLA (L.) (LEPIDOPTERA: PLUTELLIDAE);2001;NACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
15;98bfd074-de25-4823-a299-5c173a56fb76;EFFECT OF NEEM EXTRACT ON THE COTTON APHID;2004;INTERNACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
16;98bfd074-de25-4823-a299-5c173a56fb76;EFEITO DE EXTRATOS AQUOSOS DE PLANTAS NO DESENVOLVIMENTO DE PLUTELLA XYLOSTELLA (L.) (LEPIDOPTERA: PLUTELLIDAE) EM COUVE.;2005;NACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
17;98bfd074-de25-4823-a299-5c173a56fb76;EFEITO DE EXTRATOS AQUOSOS DE PLANTAS NA OVIPOSICAO DA TRACA-DAS-CRUCIFERAS, EM COUVE.;2005;NACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
18;98bfd074-de25-4823-a299-5c173a56fb76;EFEITO DE EXTRATOS AQUOSOS DE AZADIRACHTA INDICA, MELIA AZEDARACH E ASPIDOSPERMA PYRIFOLIUM NO DESENVOLVIMENTO E OVIPOSICAO DE PLUTELLA XYLOSTELLA EM BRASSICAS;2006;NACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
19;98bfd074-de25-4823-a299-5c173a56fb76;LATE PEST CONTROL IN DETERMINATE TOMATO CULTIVARS;2007;INTERNACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
20;98bfd074-de25-4823-a299-5c173a56fb76;REACAO DE GENOTIPOS DE NECTARINA (PRUNUS PERSICA VAR. NUCIPERSICA) A FERRUGEM DA FOLHA, AO CHUMBINHO E EVOLUCAO DA DESFOLHA.;2013;NACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
21;98bfd074-de25-4823-a299-5c173a56fb76;EFICACIA VERSUS VIABILIDADE ECONOMICA DO CONTROLE QUIMICO E GENETICO DA FERRUGEM DA FOLHA EM TRIGO;2013;INTERNACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
22;98bfd074-de25-4823-a299-5c173a56fb76;ACAO SISTEMICA DE AZADIRACHTA INDICA EM PLANTAS DE BRASSICA OLERACEA VAR. CAPITATA E SEU EFEITO NA BIOLOGIA DE PLUTELLA XYLOSTELLA (L., 1758) (LEPIDOPTERA : PLUTELLIDAE);2013;NACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
23;98bfd074-de25-4823-a299-5c173a56fb76;EFEITO DE PRODUTOS DE NIM (AZADIRACHTA INDICA) EM DIFERENTES FORMAS DE APLICACAO NO MANEJO DA CULTURA DO RABANETE E NA INCIDENCIA DE PRAGAS E DOENCAS EM CONDICOES DE CAMPO;2013;NACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
24;98bfd074-de25-4823-a299-5c173a56fb76;PRODUTOS DE NIM (AZADIRACHTA INDICA) NO CONTROLE DE PRAGAS DA CULTURA DO REPOLHO EM CONDICOES DE CAMPO;2013;NACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
25;98bfd074-de25-4823-a299-5c173a56fb76;COMBINATION OF RESISTANT CULTIVARS, BOTANICAL INSECTICIDES, AND BIOLOGICAL CONTROL FOR PLUTELLA XYLOSTELLA MANAGEMENT ON CABBAGE;2015;INTERNACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
26;98bfd074-de25-4823-a299-5c173a56fb76;ELETRON-MICROGRAFIAS DE VARREDURA DE OVO DA TRACADAS-CRUCIFERAS E SUA RELACAO NA ACAO OVICIDA DE FORMULACOES DE PRODUTOS E EXTRATOS DE ORIGEM VEGETAL;2016;NACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
27;98bfd074-de25-4823-a299-5c173a56fb76;DETERRENCIA DE OVIPOSICAO DA TRACA-DAS-CRUCIFERAS EM COUVE TRATADAS COM PRODUTOS DE ORIGEM VEGETAL;2016;NACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
28;98bfd074-de25-4823-a299-5c173a56fb76;TOXICIDADE DE INSETICIDAS FISIOLOGICOS E DELTAMETRINA SOBRE O PARASITOIDE DA TRACA-DAS-CRUCIFERAS OOMYZUS SOKOLOWSKII POR CONTAMINACAO TARSAL;2014;NACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
29;98bfd074-de25-4823-a299-5c173a56fb76;MANEJO NUTRICIONAL COM MICRONUTRIENTES E SEUS EFEITOS SOBRE OS COMPONENTES DE PRODUTIVIDADE NA CEVADA;2021;NACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
30;98bfd074-de25-4823-a299-5c173a56fb76;ATIVIDADE ANTIMICROBIANA E INSETICIDA DO OLEO ESSENCIAL DE PIPER AMALAGO L. (PIPERACEAE) / ANTIMICROBIAL AND INSECTICIDAL ACTIVITY OF THE ESSENTIAL OIL OF PIPER AMALAGO L. (PIPERACEAE);2022;NACIONAL;Departamento de Fitotecnia e Fitossanidade/DEFITO
