;id_professor;nome;anoconclusao;tipo;departamento
0;6b6fed82-9885-4a57-aa34-afdfc6223a5a;COMPOSTOS DE TRANSFERENCIA DE CARGA: ESTUDO TEORICO DE UM FIO MOLECULAR;1995;RESUMO;Departamento de Matemática e Estatística
1;6b6fed82-9885-4a57-aa34-afdfc6223a5a;ESTUDO TEORICO DE UM FIO MOLECULAR;1996;RESUMO;Departamento de Matemática e Estatística
2;6b6fed82-9885-4a57-aa34-afdfc6223a5a;INVESTIGACAO TEORICA DE UM FIO MOLECULAR;1996;RESUMO;Departamento de Matemática e Estatística
3;6b6fed82-9885-4a57-aa34-afdfc6223a5a;A PARAMETRIC METHOD 3;1997;RESUMO;Departamento de Matemática e Estatística
4;6b6fed82-9885-4a57-aa34-afdfc6223a5a;ESTUDO TEORICO DE COPOLIMEROS DE POLIAZOMETINA-PAM E POLI(P-FENILENO VINILENO)-PPV;1998;RESUMO;Departamento de Matemática e Estatística
5;6b6fed82-9885-4a57-aa34-afdfc6223a5a;UMA ABORDAGEM SOBRE LEVITACAO MAGNETICA;2000;RESUMO;Departamento de Matemática e Estatística
6;6b6fed82-9885-4a57-aa34-afdfc6223a5a;UMA SOLUCAO PARA O IMPINGEMENT GEOMETRICO;2002;RESUMO;Departamento de Matemática e Estatística
7;6b6fed82-9885-4a57-aa34-afdfc6223a5a;RECALESCENCE MODELLING FOR UNDERCOOLED SPHERICAL SAMPLES;2002;RESUMO;Departamento de Matemática e Estatística
8;6b6fed82-9885-4a57-aa34-afdfc6223a5a;SIMULACAO NUMERICA PARA CURVAS DE TEMPERATURA E FRACAO SOLIDIFICADA EM METAIS LIQUIDOS SUPER-RESFRIADOS;2003;RESUMO;Departamento de Matemática e Estatística
9;6b6fed82-9885-4a57-aa34-afdfc6223a5a;BIODIGESTOR: ESTUDO ANALITICO E NUMERICO DE UM MODELO SIMPLIFICADO;2003;RESUMO;Departamento de Matemática e Estatística
10;6b6fed82-9885-4a57-aa34-afdfc6223a5a;ECONOMIA FAMILIAR: ENFOQUE NA ENERGIA ELETRICA;2003;RESUMO;Departamento de Matemática e Estatística
11;6b6fed82-9885-4a57-aa34-afdfc6223a5a;MODELO PARA FASES COMPETIDORAS NA CIN ETICA DE CRISTALIZACAO DO AMORFO DE NIZR2;2004;RESUMO;Departamento de Matemática e Estatística
12;6b6fed82-9885-4a57-aa34-afdfc6223a5a;UMA MODELAGEM MATEMATICA DO CRESCIMENTO E CONTROLE TUMORAL;2004;RESUMO;Departamento de Matemática e Estatística
13;6b6fed82-9885-4a57-aa34-afdfc6223a5a;ECONOMIA FAMILIAR PARA OS SERVIDORES DA UEPG;2004;RESUMO;Departamento de Matemática e Estatística
14;77510a3a-d366-449b-a179-fb102aad2a33;MULTIMIDIA, UM NOVO AGENTE DE APOIO NO DESENVOLVIMENTO DO ENSINO.;2001;RESUMO;Departamento de Informática
15;6b6fed82-9885-4a57-aa34-afdfc6223a5a;UM ESTUDO TEORICO DO CRESCIMENTO E DO CONTROLE TUMORAL;2004;RESUMO;Departamento de Matemática e Estatística
16;77510a3a-d366-449b-a179-fb102aad2a33;SENSOR DE RESISTENCIA ELETRICA PARA VERIFICACAO DA TEXTURA DO SOLO;2007;RESUMO;Departamento de Informática
17;6b6fed82-9885-4a57-aa34-afdfc6223a5a;MODELAGEM MATEMATICA DA INTERACAO TUMOR-HOSPEDEIRO, USANDO A ELETROTERAPIA;2005;RESUMO;Departamento de Matemática e Estatística
18;6b6fed82-9885-4a57-aa34-afdfc6223a5a;MODELAGEM MATEMATICA DO CRESCIMENTO NEOPLASICO;2005;RESUMO;Departamento de Matemática e Estatística
19;6b6fed82-9885-4a57-aa34-afdfc6223a5a;SIMULACAO DA DINAMICA DE CRESCIMENTO DE TUMOR MULTICELULAR ESFEROIDAL;2006;RESUMO;Departamento de Matemática e Estatística
20;6b6fed82-9885-4a57-aa34-afdfc6223a5a;O CONCEITO DE SUSTENTABILIDADE E O FUNCIONAMENTO DA LINGUAGEM NO TEXTO PUBLICITARIO;2009;RESUMO;Departamento de Matemática e Estatística
21;58bcb135-1f40-4b21-9588-bfc482b6d220;ALMANAQUES DOS IMIGRANTES: A NARRATIVA DA PAISAGEM DO PARQUE HISTORICO DE CARAMBEI COMO GESTAO DA IMAGEM TURISTICA;2023;COMPLETO;Departamento de Geociências
22;6b6fed82-9885-4a57-aa34-afdfc6223a5a;CONSUMO E MEIO AMBIENTE (AGUA): MATEMATICA PARA O 3O E 4O CICLOS DO ENSINO FUNDAMENTAL;2008;RESUMO;Departamento de Matemática e Estatística
23;6b6fed82-9885-4a57-aa34-afdfc6223a5a;CONSUMO E MEIO AMBIENTE (AGUA): CIENCIAS NATURAIS PARA O TERCEIRO E QUARTO CICLOS DO ENSINO FUNDAMENTAL;2008;RESUMO;Departamento de Matemática e Estatística
24;6b6fed82-9885-4a57-aa34-afdfc6223a5a;ABORDAGEM CONCEITUAL DA SUSTENTABILIDADE;2009;RESUMO;Departamento de Matemática e Estatística
25;6b6fed82-9885-4a57-aa34-afdfc6223a5a;"O TEMA ""EDUCACAO PARA O CONSUMO RESPONSAVEL"" PARA PROFESSORES";2009;RESUMO;Departamento de Matemática e Estatística
26;6b6fed82-9885-4a57-aa34-afdfc6223a5a;A MATEMATICA EM TEXTO DE ECONOMIA DE UM JORNAL DE GRANDE CIRCULACAO;2009;RESUMO;Departamento de Matemática e Estatística
27;6b6fed82-9885-4a57-aa34-afdfc6223a5a;O DISCURSO DA SUSTENTABILIDADE EM TEXTOS PUBLICITARIOS;2010;COMPLETO;Departamento de Matemática e Estatística
28;6b6fed82-9885-4a57-aa34-afdfc6223a5a;PESQUISA, ENSINO E EXTENSAO NO PROJETO;2010;RESUMO_EXPANDIDO;Departamento de Matemática e Estatística
29;6b6fed82-9885-4a57-aa34-afdfc6223a5a;A PUBLICIDADE E A EDUCACAO PARA O CONSUMO RESPONSAVEL;2010;RESUMO_EXPANDIDO;Departamento de Matemática e Estatística
30;6b6fed82-9885-4a57-aa34-afdfc6223a5a;AS DIFERENTES FACES DO CONSUMO RESPONSAVEL;2010;RESUMO_EXPANDIDO;Departamento de Matemática e Estatística
31;6b6fed82-9885-4a57-aa34-afdfc6223a5a;PUBLICIDADE E CONSUMO EM TRES ANUNCIOS;2010;RESUMO_EXPANDIDO;Departamento de Matemática e Estatística
