;id_professor;nome;anoconclusao;tipo;departamento
0;6b6fed82-9885-4a57-aa34-afdfc6223a5a;ESTUDO DAS EQUACOES DIFERENCIAIS EM PROBLEMAS FISICOS;2003;INICIAÇÃO CIENTÍFICA;Departamento de Matemática e Estatística
1;6b6fed82-9885-4a57-aa34-afdfc6223a5a;UM ESTUDO TEORICO DO CRESCIMENTO E DO CONTROLE TUMORAL;2005;INICIAÇÃO CIENTÍFICA;Departamento de Matemática e Estatística
2;6b6fed82-9885-4a57-aa34-afdfc6223a5a;SIMULACAO DA DINAMICA DE CRESCIMENTO TUMORAL;2006;INICIAÇÃO CIENTÍFICA;Departamento de Matemática e Estatística
3;98bfd074-de25-4823-a299-5c173a56fb76;PRODUTOS DE NIM (AZADIRACHTA INDICA) NO CONTROLE DE PRAGAS DA CULTURA DO REPOLHO EM CONDICOES DE CAMPO;2006;INICIAÇÃO CIENTÍFICA;Departamento de Fitotecnia e Fitossanidade/DEFITO
4;98bfd074-de25-4823-a299-5c173a56fb76;AVALIACAO DA ACAO SISTEMICA DE AMENDOAS DE NIM (AZADIRACHTA INDICA) NO CONTROLE DE INSETOS SUGADORES EM COUVE;2019;INICIAÇÃO CIENTÍFICA;Departamento de Fitotecnia e Fitossanidade/DEFITO
5;863a4793-10b0-4b6b-ae50-5f6884d159c5;PROPRIEDADES MECANICAS E MICROESTRUTURAIS DE PORCELANATOS SUBMETIDOS A DIFERENTES TEMPOS DE SINTERIZACAO;2007;MESTRADO;Departamento de Engenharia de Materiais
6;863a4793-10b0-4b6b-ae50-5f6884d159c5;ESTUDO DO EFEITO DE TIO2, K2O E NA2O NA FASE VITREA E NAS PROPRIEDADES DE PORCELANAS TRIAXIAIS;2011;MESTRADO;Departamento de Engenharia de Materiais
7;863a4793-10b0-4b6b-ae50-5f6884d159c5;ESTUDO DA ATMOSFERA DE CALCINACAO E DAS TEMPERATURAS DE SINTERIZACAO DE POS NANOMETRICOS DE ZRO2-Y2O3, E SEUS EFEITOS NAS PROPRIEDADES ELETRICAS DE COMPACTOS SINTERIZADOS;2012;MESTRADO;Departamento de Engenharia de Materiais
8;863a4793-10b0-4b6b-ae50-5f6884d159c5;ESTUDO DA INCORPORACAO DE VIDRO DE PARA-BRISA EM MASSA DE PORCELANA SILICOSA E ALUMINOSA;2012;MESTRADO;Departamento de Engenharia de Materiais
9;863a4793-10b0-4b6b-ae50-5f6884d159c5;"SINTESE E CARACTERIZACAO DE LANI0,6FE0,4O3-&#948; PARA UTILIZACAO COMO CATODO EM CELULAS A COMBUSTIVEL";2014;MESTRADO;Departamento de Engenharia de Materiais
